epoch,train_loss,train_acc,val_loss,val_acc,model,lr
1,0.5319,0.8194,0.3284,0.8770,resnet,0.001
2,0.3336,0.8774,0.2921,0.8926,resnet,0.001
3,0.2970,0.8890,0.2826,0.8963,resnet,0.001
4,0.2728,0.8971,0.2750,0.8976,resnet,0.001
5,0.2576,0.9017,0.2889,0.8933,resnet,0.001
6,0.2443,0.9057,0.2671,0.9011,resnet,0.001
7,0.2347,0.9091,0.2661,0.9005,resnet,0.001
8,0.2250,0.9120,0.2622,0.9028,resnet,0.001
9,0.2171,0.9138,0.2700,0.9017,resnet,0.001
10,0.2097,0.9162,0.2657,0.9049,resnet,0.001
