epoch,train_loss,train_acc,val_loss,val_acc,lr,augment
1,0.2486,0.9252,0.1339,0.9610,0.001,False
2,0.1023,0.9686,0.1055,0.9675,0.001,False
3,0.0692,0.9787,0.0946,0.9700,0.001,False
4,0.0548,0.9830,0.0899,0.9730,0.001,False
5,0.0416,0.9868,0.0829,0.9772,0.001,False
6,0.0343,0.9886,0.0925,0.9743,0.001,False
7,0.0308,0.9896,0.0924,0.9750,0.001,False
8,0.0254,0.9915,0.0980,0.9752,0.001,False
9,0.0249,0.9919,0.0928,0.9772,0.001,False
10,0.0212,0.9930,0.0954,0.9782,0.001,False
