epoch,train_loss,train_acc,val_loss,val_acc,model,lr
1,0.3587,0.8900,0.2376,0.9227,resnet,0.001
2,0.2399,0.9224,0.2145,0.9313,resnet,0.001
3,0.2173,0.9290,0.2079,0.9330,resnet,0.001
4,0.2027,0.9328,0.1992,0.9356,resnet,0.001
5,0.1930,0.9355,0.1930,0.9366,resnet,0.001
6,0.1850,0.9378,0.1934,0.9376,resnet,0.001
7,0.1784,0.9393,0.1934,0.9373,resnet,0.001
8,0.1723,0.9409,0.2031,0.9336,resnet,0.001
9,0.1682,0.9420,0.1954,0.9377,resnet,0.001
10,0.1636,0.9435,0.1983,0.9371,resnet,0.001
