epoch,train_loss,train_acc,val_loss,val_acc,model,lr
1,0.3228,0.8985,0.2378,0.9239,cnn,0.001
2,0.2346,0.9237,0.2344,0.9241,cnn,0.001
3,0.2216,0.9275,0.2371,0.9237,cnn,0.001
4,0.2154,0.9291,0.2406,0.9242,cnn,0.001
5,0.2108,0.9308,0.2492,0.9220,cnn,0.001
6,0.2077,0.9318,0.2482,0.9233,cnn,0.001
7,0.2082,0.9319,0.2497,0.9243,cnn,0.001
8,0.2070,0.9320,0.2512,0.9224,cnn,0.001
9,0.2059,0.9319,0.2596,0.9228,cnn,0.001
10,0.2081,0.9319,0.2711,0.9244,cnn,0.001
