epoch,train_loss,train_acc,val_loss,val_acc,lr,augment
1,0.1389,0.9556,0.0489,0.9847,0.001,False
2,0.0430,0.9867,0.0511,0.9847,0.001,False
3,0.0297,0.9906,0.0460,0.9875,0.001,False
4,0.0227,0.9929,0.0409,0.9865,0.001,False
5,0.0191,0.9936,0.0338,0.9895,0.001,False
6,0.0152,0.9952,0.0301,0.9918,0.001,False
7,0.0145,0.9953,0.0269,0.9923,0.001,False
8,0.0116,0.9960,0.0362,0.9908,0.001,False
9,0.0099,0.9970,0.0394,0.9908,0.001,False
10,0.0106,0.9965,0.0327,0.9918,0.001,False
