epoch,train_loss,train_acc,val_loss,val_acc,lr_model,lr_center
1,0.5319,0.8204,0.3436,0.8687,0.001,0.5
2,0.3354,0.8761,0.3006,0.8924,0.001,0.5
3,0.2979,0.8891,0.2895,0.8928,0.001,0.5
4,0.2741,0.8968,0.2889,0.8931,0.001,0.5
5,0.2587,0.9011,0.2732,0.9014,0.001,0.5
6,0.9412,0.9050,0.2688,0.8979,0.001,0.5
7,0.8367,0.9094,0.2664,0.8995,0.001,0.5
8,0.7952,0.9119,0.2717,0.8965,0.001,0.5
9,0.7724,0.9143,0.2510,0.9068,0.001,0.5
10,0.7756,0.9168,0.2619,0.9031,0.001,0.5
